CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO;NU_ANO;SCORE_ESCUDO;TX_ENUNCIADO
44;LC;40390;A;22;0;;2.71986;-1.03297;0.01557;AZUL;1201;;0;2023;8.460780000000002;Questão de Espanhol - Posição 44 (Consulte o Caderno Azul Oficial)
44;LC;140835;B;20;0;;3.6215;-0.18111;0.18705;AZUL;1241;;0;2023;6.8510800000000005;Questão de Espanhol - Posição 44 (Consulte o Caderno Azul Oficial)
44;LC;140835;B;20;0;;3.6215;-0.18111;0.18705;AZUL;1281;;0;2023;6.8510800000000005;Questão de Espanhol - Posição 44 (Consulte o Caderno Azul Oficial)
53;CH;141375;A;30;0;;3.59519;-0.11366;0.18978;AZUL;1271;;0;2023;6.58246;Questão de Espanhol - Posição 53 (Consulte o Caderno Azul Oficial)
53;CH;141375;A;30;0;;3.59519;-0.11366;0.18978;AZUL;1231;;0;2023;6.58246;Questão de Espanhol - Posição 53 (Consulte o Caderno Azul Oficial)
92;CN;83378;B;3;0;;1.92829;-1.14947;0.20133;AZUL;1221;;0;2023;6.29834;Questão de Espanhol - Posição 92 (Consulte o Caderno Azul Oficial)
66;CH;140166;A;15;0;;2.42214;-0.62019;0.09595;AZUL;1191;;0;2023;6.2251;"*010175AZ25*
QUESTÃO 66 QUESTÃO 68
TEXTO I O masseiro, a mulher, e quatro filhos, dormindo numa
tapera de quatro paredes de caixão, coberta de zinco.
Como é horrivel ver um filho comer e perguntar: “Tem
A água do mangue, na maré cheia, ia dentro de casa.
mais?” Esta palavra “tem mais” fica oscilando dentro do
Os maruins de noite encalombavam o corpo dos meninos.
cerebro de uma mãe que olha as panela e não tem mais.
O mangue tinha ocasião que fedia, e os urubus faziam
JESUS, C. M. Quarto de despejo: diário de uma favelada. São Paulo: Ática, 2014.
ponto por ali atrás dos petiscos. Perto da rua lavavam
TEXTO II
couro de boi, pele de bode para o curtume de um espanhol.
A experiência de ver os filhos com fome na década
Morria peixe envenenado, e quando a maré secava, os
de 1950, descrita por Carolina, é vivida no Brasil de 2021
urubus enchiam o papo, ciscavam a lama, passeando
por uma moradora de Petrolândia, em Pernambuco. “Eu
banzeiros pelas biqueiras dos mocambos no Recife.
trabalhava de ajudante de cabeleireira, mas a moça que
RÊGO, J. L. O moleque Ricardo. Rio de Janeiro: J. Olympio, 1966 (adaptado).
tinha o salão fechou. Eu vinha me sustentando com o
A aglomeração urbana representada no texto resulta em
auxílio que tinha, mas agora eu não fui contemplada. Às
vezes as pessoas me ajudam com alimentos para os meus AA conservação do meio rural.
filhos. De vez em quando, eu acho algum bico para fazer, BB crescimento da vegetação ciliar.
mas é muito raro. Tem dias que não tenho nem o leite da CC interferência do espaço geográfico.
minha bebê.”
DD equilíbrio do ambiente das cidades.
CARRANÇA, T. “Até o feijão nos esqueceu”: o livro de 1960 que poderia ter sido escrito
nas favelas de 2021. Disponível em: www.bbc.com. Acesso em: 6 out. 2021 (adaptado). EE controle da proliferação dos animais.
Considerando a realidade brasileira, os textos se
QUESTÃO 69
aproximam ao apresentarem uma reflexão sobre o(a)
AA recorrência da miséria. Elas foram as pioneiras dos direitos das mulheres
no Afeganistão. Defensoras ferrenhas da lei, buscaram
BB planejamento da saúde.
justiça para os mais marginalizados. Mas, agora, mais
CC superação da escassez. de 220 juízas afegãs estão escondidas por medo de
DD constância da economia. retaliação sob o regime do Talibã. Uma delas condenou
EE romantização da carência. centenas de homens por violência contra as mulheres,
incluindo estupro, assassinato e tortura. Mas poucos dias
QUESTÃO 67 depois que o Talibã assumiu o controle de sua cidade
e milhares de criminosos condenados foram libertados
No sul da Bahia, desde o século XVIII, tem-se
da prisão, as ameaças de morte começaram. O país
registros de um tipo de sistema agroflorestal. Até hoje,
sempre foi considerado um dos lugares mais difíceis e
esse sistema é característica marcante da paisagem
perigosos do mundo para as mulheres. De acordo com
da região, conhecido como cabruca, que consiste no
estudos de organizações não governamentais, cerca de
cultivo do cacau à sombra do dossel da floresta nativa.
87% das mulheres e meninas serão vítimas de abuso
Esse sistema de cultivo do cacau (graças à tolerância
durante a vida.
da espécie à sombra) é considerado amigável para a
Disponível em: https://g1.globo.com. Acesso em: 12 out. 2021 (adaptado).
vida silvestre, pois apresenta superioridade em termos
O texto evidencia situação representativa de
de conservação da biodiversidade quando comparado
com outras plantações tropicais (monoculturas de dendê, AA afronta às estruturas sociais.
seringa ou café), agricultura ou pastagens. BB desprezo aos valores religiosos.
SOLLBERG, I.; SCHIAVETTI, A.; MORAES, M. E. B. Manejo agrícola no CC transgressão às normas morais.
Refúgio de Vida Silvestre de Una: agroflorestas como uma perspectiva
de conservação. Revista Árvore, n. 2, 2014 (adaptado). DD desrespeito à dignidade humana.
A prática produtiva apresentada é um exemplo de EE oposição aos princípios hierárquicos.
AA difusão comercial de lavouras temporárias.
BB utilização sustentável dos recursos naturais.
CC ampliação tecnológica da pecuária intensiva.
DD padronização alimentar dos povos tradicionais.
EE modernização logística de plantios convencionais.
–CH • 1º DIA • CADERNO 1 • AZUL– 25"
81;CH;140157;E;12;0;;3.11132;-0.20743;0.2064;AZUL;1271;;0;2023;5.81293;"*010175AZ29*
QUESTÃO 81 QUESTÃO 83
A economia das ilegalidades se reestruturou com o Diversos são os fatores causadores da degradação
desenvolvimento da sociedade capitalista. A ilegalidade dos do solo, atuando de forma direta ou indireta, mas quase
bens foi separada da ilegalidade dos direitos. Divisão que sempre a grande maioria das terras degradadas inicia esse
corresponde a uma oposição de classes, pois, de um lado, a processo com o desmatamento, que pode ser seguido
ilegalidade mais acessível às classes populares será a dos por diversas formas de ocupação desordenada, como:
bens — transferência violenta das propriedades; de outro, corte de taludes para a construção de casas, rodovias e
à burguesia, então, se reservará a ilegalidade dos direitos: ferrovias, agricultura, com uso da queimada, vários tipos de
a possibilidade de desviar seus próprios regulamentos mineração, irrigação excessiva, crescimento desordenado
e suas próprias leis; e essa grande redistribuição das das cidades, superpastoreio, uso do solo para diversos
ilegalidades se traduzirá até por uma especialização dos tipos de despejos industriais e domésticos, sem tratamento
circuitos judiciários; para as ilegalidades de bens — para da área que recebe esses despejos; enfim, de uma forma
o roubo — os tribunais ordinários e os castigos; para ou de outra, os solos tornam-se degradados, sendo muitas
as ilegalidades de direitos — fraudes, evasões fiscais, vezes difícil, ou quase impossível, a sua recuperação.
operações comerciais irregulares — jurisdições especiais
GUERRA, A. T. Degradação dos solos: conceitos e temas. In: GUERRA, A. T.;
com transações, acomodações, multas atenuadas etc. JORGE, M. C. O. (Org.). Degradação dos solos no Brasil.
Rio de Janeiro: Difel, 2018.
FOUCAULT, M. Vigiar e punir: nascimento da prisão. Petrópolis: Vozes, 1987.
A partir da ocupação desordenada exposta no texto, o que
O texto apresenta uma relação de cálculo político-econômico
impede a recuperação do recurso natural destacado é a
que caracteriza o poder punitivo por meio da
AA elevação da biomassa.
AA gestão das ilicitudes pelo sistema judicial.
BB redução da salinização.
BB aplicação das sanções pelo modelo equânime.
CC diminuição da fertilidade.
CC supressão dos crimes pela penalização severa.
DD ampliação da microfauna.
DD regulamentação dos privilégios pela justiça social.
EE decomposição do substrato.
EE repartição de vantagens pela hierarquização cultural.
QUESTÃO 84
QUESTÃO 82
A partir da década de 1930, começam a ser discutidos
Os vapores cruzavam os mares transportando
no Brasil os princípios de racionalização do trabalho.
pessoas, mercadorias e ideias, e ainda carregavam a mala
As preocupações com a cozinha e o trabalho doméstico
postal, repleta de mensagens. Múltiplas histórias escritas
foram introduzidas com a medicina sanitária e a oferta
atravessavam o oceano buscando por notícias de filhos e
de gás e eletricidade para uso doméstico no início do
pais, irmãos, maridos e esposas, noivos e noivas. As missivas
século XX. A organização da cozinha visava atingir
traziam boas e más novas, comunicavam alegremente
uma simplificação das tarefas, com a economia de
nascimentos e casamentos, também doenças e mortes;
movimentos, e o barateamento dos equipamentos, a
enviavam declarações de amor e fidelidade, fotos de família;
partir da produção em grande escala. A padronização e
encaminhavam conselhos de velhos, pedidos de ajuda e de
racionalização da habitação e seus componentes visava
dinheiro; expediam cartas bancárias e de chamada. Essa
uma radical transformação da casa, em especial da
literatura epistolar possibilitava a transmissão e reconstrução
cozinha, e apoiava-se tanto no desenvolvimento de novos
das tradições. Os deslocamentos tornaram-se um dos mais
equipamentos quanto nos estudos de racionalização
potentes produtores de escritura ao longo da história.
do trabalho doméstico. A principal preocupação era
TRUZZI, O.; MATOS, I. Saudades: sensibilidades no epistolário de e/imigrantes
portugueses (Portugal-Brasil 1890-1930). Rev. Bras. Hist., n. 70, jul.-dez. 2015. o desenvolvimento de um novo tipo de habitação, que
Conforme o texto, as correspondências trocadas entre deveria induzir um novo comportamento social.
imigrantes no Brasil com os seus países de procedência SILVA, J. L. M. Transformações no espaço doméstico: o fogão a gás e a cozinha
paulistana, 1870-1930. Anais do Museu Paulista, n. 2, jul.-dez. 2007 (adaptado).
constituíam um dispositivo tecnológico que possibilitava o(a)
No contexto descrito, as mudanças mencionadas
AA disputa ideológica entre a comunidade de estrangeiros
proporcionavam às mulheres o(a)
e a de nativos.
AA controle do orçamento familiar.
BB circularidade cultural entre a sociedade de partida e
BB libertação das tradições religiosas.
a de acolhimento.
CC controle doutrinário das narrativas do cotidiano de CC exercício da representatividade política.
origem e de destino. DD ampliação dos momentos de socialização.
DD fiscalização política dos fluxos de populações do Novo EE afastamento das atividades especializadas.
e do Velho Mundo.
EE monitoramento social dos grupos de trabalhadores da
cidade e do campo.
–CH • 1º DIA • CADERNO 1 • AZUL– 29"
81;CH;140157;E;12;0;;3.11132;-0.20743;0.2064;AZUL;1231;;0;2023;5.81293;"*010175AZ29*
QUESTÃO 81 QUESTÃO 83
A economia das ilegalidades se reestruturou com o Diversos são os fatores causadores da degradação
desenvolvimento da sociedade capitalista. A ilegalidade dos do solo, atuando de forma direta ou indireta, mas quase
bens foi separada da ilegalidade dos direitos. Divisão que sempre a grande maioria das terras degradadas inicia esse
corresponde a uma oposição de classes, pois, de um lado, a processo com o desmatamento, que pode ser seguido
ilegalidade mais acessível às classes populares será a dos por diversas formas de ocupação desordenada, como:
bens — transferência violenta das propriedades; de outro, corte de taludes para a construção de casas, rodovias e
à burguesia, então, se reservará a ilegalidade dos direitos: ferrovias, agricultura, com uso da queimada, vários tipos de
a possibilidade de desviar seus próprios regulamentos mineração, irrigação excessiva, crescimento desordenado
e suas próprias leis; e essa grande redistribuição das das cidades, superpastoreio, uso do solo para diversos
ilegalidades se traduzirá até por uma especialização dos tipos de despejos industriais e domésticos, sem tratamento
circuitos judiciários; para as ilegalidades de bens — para da área que recebe esses despejos; enfim, de uma forma
o roubo — os tribunais ordinários e os castigos; para ou de outra, os solos tornam-se degradados, sendo muitas
as ilegalidades de direitos — fraudes, evasões fiscais, vezes difícil, ou quase impossível, a sua recuperação.
operações comerciais irregulares — jurisdições especiais
GUERRA, A. T. Degradação dos solos: conceitos e temas. In: GUERRA, A. T.;
com transações, acomodações, multas atenuadas etc. JORGE, M. C. O. (Org.). Degradação dos solos no Brasil.
Rio de Janeiro: Difel, 2018.
FOUCAULT, M. Vigiar e punir: nascimento da prisão. Petrópolis: Vozes, 1987.
A partir da ocupação desordenada exposta no texto, o que
O texto apresenta uma relação de cálculo político-econômico
impede a recuperação do recurso natural destacado é a
que caracteriza o poder punitivo por meio da
AA elevação da biomassa.
AA gestão das ilicitudes pelo sistema judicial.
BB redução da salinização.
BB aplicação das sanções pelo modelo equânime.
CC diminuição da fertilidade.
CC supressão dos crimes pela penalização severa.
DD ampliação da microfauna.
DD regulamentação dos privilégios pela justiça social.
EE decomposição do substrato.
EE repartição de vantagens pela hierarquização cultural.
QUESTÃO 84
QUESTÃO 82
A partir da década de 1930, começam a ser discutidos
Os vapores cruzavam os mares transportando
no Brasil os princípios de racionalização do trabalho.
pessoas, mercadorias e ideias, e ainda carregavam a mala
As preocupações com a cozinha e o trabalho doméstico
postal, repleta de mensagens. Múltiplas histórias escritas
foram introduzidas com a medicina sanitária e a oferta
atravessavam o oceano buscando por notícias de filhos e
de gás e eletricidade para uso doméstico no início do
pais, irmãos, maridos e esposas, noivos e noivas. As missivas
século XX. A organização da cozinha visava atingir
traziam boas e más novas, comunicavam alegremente
uma simplificação das tarefas, com a economia de
nascimentos e casamentos, também doenças e mortes;
movimentos, e o barateamento dos equipamentos, a
enviavam declarações de amor e fidelidade, fotos de família;
partir da produção em grande escala. A padronização e
encaminhavam conselhos de velhos, pedidos de ajuda e de
racionalização da habitação e seus componentes visava
dinheiro; expediam cartas bancárias e de chamada. Essa
uma radical transformação da casa, em especial da
literatura epistolar possibilitava a transmissão e reconstrução
cozinha, e apoiava-se tanto no desenvolvimento de novos
das tradições. Os deslocamentos tornaram-se um dos mais
equipamentos quanto nos estudos de racionalização
potentes produtores de escritura ao longo da história.
do trabalho doméstico. A principal preocupação era
TRUZZI, O.; MATOS, I. Saudades: sensibilidades no epistolário de e/imigrantes
portugueses (Portugal-Brasil 1890-1930). Rev. Bras. Hist., n. 70, jul.-dez. 2015. o desenvolvimento de um novo tipo de habitação, que
Conforme o texto, as correspondências trocadas entre deveria induzir um novo comportamento social.
imigrantes no Brasil com os seus países de procedência SILVA, J. L. M. Transformações no espaço doméstico: o fogão a gás e a cozinha
paulistana, 1870-1930. Anais do Museu Paulista, n. 2, jul.-dez. 2007 (adaptado).
constituíam um dispositivo tecnológico que possibilitava o(a)
No contexto descrito, as mudanças mencionadas
AA disputa ideológica entre a comunidade de estrangeiros
proporcionavam às mulheres o(a)
e a de nativos.
AA controle do orçamento familiar.
BB circularidade cultural entre a sociedade de partida e
BB libertação das tradições religiosas.
a de acolhimento.
CC controle doutrinário das narrativas do cotidiano de CC exercício da representatividade política.
origem e de destino. DD ampliação dos momentos de socialização.
DD fiscalização política dos fluxos de populações do Novo EE afastamento das atividades especializadas.
e do Velho Mundo.
EE monitoramento social dos grupos de trabalhadores da
cidade e do campo.
–CH • 1º DIA • CADERNO 1 • AZUL– 29"
124;CN;11309;C;8;0;;1.62855;-1.00049;0.09528;AZUL;1301;;0;2023;5.782170000000001;Questão de Espanhol - Posição 124 (Consulte o Caderno Azul Oficial)
