CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO;NU_ANO;TX_ENUNCIADO
120;CN;47231;C;5;0;;5.9367;2.33396;0.11437;AZUL;1221;;0;2023;Texto extraído diretamente do caderno oficial.
120;CN;47231;C;5;0;;5.9367;2.33396;0.11437;AZUL;1221;;0;2023;Texto extraído diretamente do caderno oficial.
120;CN;47231;C;5;0;;5.9367;2.33396;0.11437;AZUL;1221;;0;2023;Texto extraído diretamente do caderno oficial.
135;CN;26042;D;19;0;;3.9865;1.63479;0.19026;AZUL;1221;;0;2023;Texto extraído diretamente do caderno oficial.
135;CN;26042;D;19;0;;3.9865;1.63479;0.19026;AZUL;1221;;0;2023;Texto extraído diretamente do caderno oficial.
135;CN;26042;D;19;0;;3.9865;1.63479;0.19026;AZUL;1221;;0;2023;Texto extraído diretamente do caderno oficial.
96;CN;63155;D;26;0;;3.97972;1.34607;0.24211;AZUL;1221;;0;2023;Texto extraído diretamente do caderno oficial.
96;CN;63155;D;26;0;;3.97972;1.34607;0.24211;AZUL;1221;;0;2023;Texto extraído diretamente do caderno oficial.
96;CN;63155;D;26;0;;3.97972;1.34607;0.24211;AZUL;1221;;0;2023;Texto extraído diretamente do caderno oficial.
98;CN;86347;B;28;0;;3.97355;1.19295;0.12256;AZUL;1221;;0;2023;Texto extraído diretamente do caderno oficial.
98;CN;86347;B;28;0;;3.97355;1.19295;0.12256;AZUL;1221;;0;2023;Texto extraído diretamente do caderno oficial.
98;CN;86347;B;28;0;;3.97355;1.19295;0.12256;AZUL;1221;;0;2023;Texto extraído diretamente do caderno oficial.
64;CH;140544;C;6;0;;3.93201;1.29457;0.20117;AZUL;1271;;0;2023;Texto extraído diretamente do caderno oficial.
64;CH;140544;C;6;0;;3.93201;1.29457;0.20117;AZUL;1231;;0;2023;Texto extraído diretamente do caderno oficial.
64;CH;140544;C;6;0;;3.93201;1.29457;0.20117;AZUL;1231;;0;2023;Texto extraído diretamente do caderno oficial.
64;CH;140544;C;6;0;;3.93201;1.29457;0.20117;AZUL;1271;;0;2023;Texto extraído diretamente do caderno oficial.
64;CH;140544;C;6;0;;3.93201;1.29457;0.20117;AZUL;1271;;0;2023;Texto extraído diretamente do caderno oficial.
64;CH;140544;C;6;0;;3.93201;1.29457;0.20117;AZUL;1231;;0;2023;Texto extraído diretamente do caderno oficial.
61;CH;141116;C;15;0;;3.91893;0.65977;0.17428;AZUL;1271;;0;2023;Texto extraído diretamente do caderno oficial.
61;CH;141116;C;15;0;;3.91893;0.65977;0.17428;AZUL;1231;;0;2023;Texto extraído diretamente do caderno oficial.
61;CH;141116;C;15;0;;3.91893;0.65977;0.17428;AZUL;1231;;0;2023;Texto extraído diretamente do caderno oficial.
61;CH;141116;C;15;0;;3.91893;0.65977;0.17428;AZUL;1271;;0;2023;Texto extraído diretamente do caderno oficial.
61;CH;141116;C;15;0;;3.91893;0.65977;0.17428;AZUL;1271;;0;2023;Texto extraído diretamente do caderno oficial.
61;CH;141116;C;15;0;;3.91893;0.65977;0.17428;AZUL;1231;;0;2023;Texto extraído diretamente do caderno oficial.
102;CN;60791;B;24;0;;3.87983;1.96308;0.20715;AZUL;1333;;0;2023;Texto extraído diretamente do caderno oficial.
102;CN;60791;B;24;0;;3.87983;1.96308;0.20715;AZUL;1333;;0;2023;Texto extraído diretamente do caderno oficial.
102;CN;60791;B;24;0;;3.87983;1.96308;0.20715;AZUL;1333;;0;2023;Texto extraído diretamente do caderno oficial.
139;MT;126030;D;18;0;;3.85903;2.30004;0.32314;AZUL;1291;;0;2023;Texto extraído diretamente do caderno oficial.
139;MT;126030;D;18;0;;3.85903;2.30004;0.32314;AZUL;1251;;0;2023;Texto extraído diretamente do caderno oficial.
139;MT;126030;D;18;0;;3.85903;2.30004;0.32314;AZUL;1251;;0;2023;Texto extraído diretamente do caderno oficial.
139;MT;126030;D;18;0;;3.85903;2.30004;0.32314;AZUL;1291;;0;2023;Texto extraído diretamente do caderno oficial.
139;MT;126030;D;18;0;;3.85903;2.30004;0.32314;AZUL;1251;;0;2023;Texto extraído diretamente do caderno oficial.
139;MT;126030;D;18;0;;3.85903;2.30004;0.32314;AZUL;1291;;0;2023;Texto extraído diretamente do caderno oficial.
