CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO;NU_ANO;TX_ENUNCIADO
110;CN;86674;C;7;0;;7.35128;1.31937;0.12629;AZUL;1569;;0;2025;Texto extraído diretamente do caderno oficial.
110;CN;86674;C;7;0;;7.35128;1.31937;0.12629;AZUL;1569;;0;2025;Texto extraído diretamente do caderno oficial.
110;CN;86674;C;7;0;;7.35128;1.31937;0.12629;AZUL;1569;;0;2025;Texto extraído diretamente do caderno oficial.
123;CN;95477;E;21;0;;6.51954;1.22565;0.22084;AZUL;1569;;0;2025;Texto extraído diretamente do caderno oficial.
123;CN;95477;E;21;0;;6.51954;1.22565;0.22084;AZUL;1569;;0;2025;Texto extraído diretamente do caderno oficial.
123;CN;95477;E;21;0;;6.51954;1.22565;0.22084;AZUL;1569;;0;2025;Texto extraído diretamente do caderno oficial.
125;CN;84790;C;13;0;;5.335;1.44617;0.19475;AZUL;1569;;0;2025;Texto extraído diretamente do caderno oficial.
125;CN;84790;C;13;0;;5.335;1.44617;0.19475;AZUL;1569;;0;2025;Texto extraído diretamente do caderno oficial.
125;CN;84790;C;13;0;;5.335;1.44617;0.19475;AZUL;1569;;0;2025;Texto extraído diretamente do caderno oficial.
38;LC;150664;C;24;0;;3.99038;0.67847;0.18382;AZUL;1549;;0;2025;Texto extraído diretamente do caderno oficial.
38;LC;150664;C;24;0;;3.99038;0.67847;0.18382;AZUL;1549;;0;2025;Texto extraído diretamente do caderno oficial.
38;LC;150664;C;24;0;;3.99038;0.67847;0.18382;AZUL;1549;;0;2025;Texto extraído diretamente do caderno oficial.
115;CN;40964;C;6;0;;3.98966;2.39668;0.32539;AZUL;1569;;0;2025;Texto extraído diretamente do caderno oficial.
115;CN;40964;C;6;0;;3.98966;2.39668;0.32539;AZUL;1569;;0;2025;Texto extraído diretamente do caderno oficial.
115;CN;40964;C;6;0;;3.98966;2.39668;0.32539;AZUL;1569;;0;2025;Texto extraído diretamente do caderno oficial.
121;CN;141616;B;5;0;;3.9427;1.65917;0.29972;AZUL;1569;;0;2025;Texto extraído diretamente do caderno oficial.
121;CN;141616;B;5;0;;3.9427;1.65917;0.29972;AZUL;1569;;0;2025;Texto extraído diretamente do caderno oficial.
121;CN;141616;B;5;0;;3.9427;1.65917;0.29972;AZUL;1569;;0;2025;Texto extraído diretamente do caderno oficial.
101;CN;88961;C;14;0;;3.88883;1.40675;0.1611;AZUL;1511;;0;2025;Texto extraído diretamente do caderno oficial.
101;CN;88961;C;14;0;;3.88883;1.40675;0.1611;AZUL;1511;;0;2025;Texto extraído diretamente do caderno oficial.
101;CN;88961;C;14;0;;3.88883;1.40675;0.1611;AZUL;1511;;0;2025;Texto extraído diretamente do caderno oficial.
57;CH;125802;D;2;0;;3.84407;0.17934;0.18899;AZUL;1520;;0;2025;Texto extraído diretamente do caderno oficial.
57;CH;125802;D;2;0;;3.84407;0.17934;0.18899;AZUL;1520;;0;2025;Texto extraído diretamente do caderno oficial.
57;CH;125802;D;2;0;;3.84407;0.17934;0.18899;AZUL;1520;;0;2025;Texto extraído diretamente do caderno oficial.
144;MT;83535;B;4;0;;3.80043;2.11536;0.2154;AZUL;1502;;0;2025;Texto extraído diretamente do caderno oficial.
144;MT;83535;B;4;0;;3.80043;2.11536;0.2154;AZUL;1502;;0;2025;Texto extraído diretamente do caderno oficial.
144;MT;83535;B;4;0;;3.80043;2.11536;0.2154;AZUL;1502;;0;2025;Texto extraído diretamente do caderno oficial.
75;CH;89670;C;11;0;;3.79063;0.48844;0.18077;AZUL;1520;;0;2025;Texto extraído diretamente do caderno oficial.
75;CH;89670;C;11;0;;3.79063;0.48844;0.18077;AZUL;1520;;0;2025;Texto extraído diretamente do caderno oficial.
75;CH;89670;C;11;0;;3.79063;0.48844;0.18077;AZUL;1520;;0;2025;Texto extraído diretamente do caderno oficial.
122;CN;141549;A;5;0;;3.78975;2.17662;0.06117;AZUL;1511;;0;2025;Texto extraído diretamente do caderno oficial.
122;CN;141549;A;5;0;;3.78975;2.17662;0.06117;AZUL;1511;;0;2025;Texto extraído diretamente do caderno oficial.
122;CN;141549;A;5;0;;3.78975;2.17662;0.06117;AZUL;1511;;0;2025;Texto extraído diretamente do caderno oficial.
159;MT;28594;B;28;0;;3.76898;2.83918;0.20314;AZUL;1559;;0;2025;Texto extraído diretamente do caderno oficial.
159;MT;28594;B;28;0;;3.76898;2.83918;0.20314;AZUL;1559;;0;2025;Texto extraído diretamente do caderno oficial.
159;MT;28594;B;28;0;;3.76898;2.83918;0.20314;AZUL;1559;;0;2025;Texto extraído diretamente do caderno oficial.
138;MT;141509;A;20;0;;3.71206;2.19166;0.05382;AZUL;1559;;0;2025;Texto extraído diretamente do caderno oficial.
138;MT;141509;A;20;0;;3.71206;2.19166;0.05382;AZUL;1559;;0;2025;Texto extraído diretamente do caderno oficial.
