CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;IN_ITEM_ABAN;TX_MOTIVO_ABAN;NU_PARAM_A;NU_PARAM_B;NU_PARAM_C;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO;NU_ANO;TX_ENUNCIADO
120;CN;96244;E;15;0;;5.67249;1.52791;0.14273;AZUL;1085;;0;2022;Questão 120 - Texto extraído da Prova Oficial.
120;CN;96244;E;15;0;;5.67249;1.52791;0.14273;AZUL;1187;;0;2022;Questão 120 - Texto extraído da Prova Oficial.
120;CN;96244;E;15;0;;5.67249;1.52791;0.14273;AZUL;1187;;0;2022;Questão 120 - Texto extraído da Prova Oficial.
120;CN;96244;E;15;0;;5.67249;1.52791;0.14273;AZUL;1085;;0;2022;Questão 120 - Texto extraído da Prova Oficial.
120;CN;96244;E;15;0;;5.67249;1.52791;0.14273;AZUL;1187;;0;2022;Questão 120 - Texto extraído da Prova Oficial.
120;CN;96244;E;15;0;;5.67249;1.52791;0.14273;AZUL;1085;;0;2022;Questão 120 - Texto extraído da Prova Oficial.
107;CN;85860;C;24;0;;5.31621;2.04288;0.17088;AZUL;1085;;0;2022;Questão 107 - Texto extraído da Prova Oficial.
107;CN;85860;C;24;0;;5.31621;2.04288;0.17088;AZUL;1187;;0;2022;Questão 107 - Texto extraído da Prova Oficial.
107;CN;85860;C;24;0;;5.31621;2.04288;0.17088;AZUL;1187;;0;2022;Questão 107 - Texto extraído da Prova Oficial.
107;CN;85860;C;24;0;;5.31621;2.04288;0.17088;AZUL;1085;;0;2022;Questão 107 - Texto extraído da Prova Oficial.
107;CN;85860;C;24;0;;5.31621;2.04288;0.17088;AZUL;1187;;0;2022;Questão 107 - Texto extraído da Prova Oficial.
107;CN;85860;C;24;0;;5.31621;2.04288;0.17088;AZUL;1085;;0;2022;Questão 107 - Texto extraído da Prova Oficial.
51;CH;87207;E;17;0;;4.79392;1.19623;0.12998;AZUL;1055;;0;2022;Questão 51 - Texto extraído da Prova Oficial.
51;CH;87207;E;17;0;;4.79392;1.19623;0.12998;AZUL;1175;;0;2022;Questão 51 - Texto extraído da Prova Oficial.
51;CH;87207;E;17;0;;4.79392;1.19623;0.12998;AZUL;1055;;0;2022;Questão 51 - Texto extraído da Prova Oficial.
51;CH;87207;E;17;0;;4.79392;1.19623;0.12998;AZUL;1175;;0;2022;Questão 51 - Texto extraído da Prova Oficial.
51;CH;87207;E;17;0;;4.79392;1.19623;0.12998;AZUL;1175;;0;2022;Questão 51 - Texto extraído da Prova Oficial.
51;CH;87207;E;17;0;;4.79392;1.19623;0.12998;AZUL;1055;;0;2022;Questão 51 - Texto extraído da Prova Oficial.
103;CN;85445;E;20;0;;4.44898;1.4048;0.15587;AZUL;1085;;0;2022;Questão 103 - Texto extraído da Prova Oficial.
103;CN;85445;E;20;0;;4.44898;1.4048;0.15587;AZUL;1187;;0;2022;Questão 103 - Texto extraído da Prova Oficial.
